пол;Возраст;Группировка_возраст;Уровень_образования;Категория_работающих;Группировка_работающих_новая;Сфера_деятельности;Группировка_сфера;УровеньВладения;ОбучениеЦН;ПрошлыйОпыт;СложностиИКТ;СтепеньМотивации;ГруппировкаСтепеньМотивации;Мотивы;Блок2_1_В1;Блок2_1_В2;Блок2_1_В3;Блок2_2_В1;Блок2_2_В2;Блок2_2_В3;Блок2_3_В1;Блок2_3_В2;Блок2_3_В3;Блок2_4_В1;Блок2_4_В2;Блок2_4_В3;;;;
2;4;4;1;1;3;8;2;3;3;2;3;4;3;5;4;3;4;4;4;5;3;4;5;0;2;5;;;;
1;1;1;1;1;3;5;2;4;2;4;2;5;3;4;4;3;4;3;4;5;4;5;5;4;5;5;;;;
1;2;2;2;1;3;7;1;4;1;3;3;2;1;3;4;1;4;2;3;2;4;4;3;4;4;1;;;;
1;1;1;4;1;3;15;2;3;4;4;2;2;1;4;4;2;4;3;3;5;5;4;5;1;1;1;;;;
2;1;1;1;1;3;8;2;4;2;4;3;2;1;4;5;4;4;4;4;5;0;0;1;0;0;1;;;;
2;1;1;2;1;3;4;2;3;4;3;3;4;3;5;4;3;3;3;4;5;4;5;5;1;3;3;;;;
2;1;1;2;1;3;16;1;3;3;3;4;1;1;5;2;2;5;2;2;5;3;2;5;0;0;1;;;;
2;1;1;2;1;3;16;1;4;4;4;4;4;3;5;4;4;4;4;4;5;4;4;5;1;0;1;;;;
2;1;1;2;4;1;16;1;4;3;4;3;4;3;5;4;4;5;4;4;4;4;4;5;2;1;1;;;;
2;1;1;2;1;3;5;2;3;4;2;3;2;1;5;5;4;4;4;4;5;3;3;5;0;3;2;;;;
2;1;1;2;1;3;20;2;5;4;4;3;3;2;5;3;4;1;5;5;3;5;4;4;2;1;1;;;;
2;4;4;1;2;2;10;2;4;2;3;3;3;2;5;4;3;5;4;4;5;4;4;5;0;0;1;;;;
1;4;4;1;2;2;10;2;3;2;4;2;3;2;5;4;4;4;4;3;5;3;4;5;1;1;1;;;;
1;3;3;1;2;2;10;2;5;1;5;2;5;3;3;5;5;3;5;5;3;5;5;3;0;0;1;;;;
1;1;1;1;1;3;21;3;4;2;4;1;4;3;5;5;1;5;4;2;4;5;4;5;3;5;5;;;;
2;1;1;1;4;1;21;3;3;3;2;2;3;2;3;5;0;1;4;3;4;0;1;5;1;2;2;;;;
2;3;3;1;1;3;8;2;3;3;4;2;4;3;4;5;4;4;4;4;5;4;4;5;2;3;2;;;;
1;1;1;2;1;3;5;2;4;3;4;2;3;2;5;4;3;5;5;3;5;4;4;5;3;4;5;;;;
1;1;1;4;3;1;1;1;2;3;3;4;3;2;3;3;2;4;0;2;4;2;2;4;2;2;4;;;;
2;1;1;2;1;3;8;2;4;3;5;2;5;3;4;5;5;5;5;5;5;3;3;5;2;4;2;;;;
2;4;4;1;2;2;21;3;3;2;4;2;5;3;4;4;4;4;3;4;5;4;5;5;1;5;5;;;;
1;4;4;2;3;1;11;2;3;4;4;4;3;2;4;4;4;4;1;2;5;4;3;5;0;0;1;;;;
2;4;4;4;4;1;9;2;3;4;4;5;3;2;2;4;5;2;2;1;3;1;2;1;1;1;1;;;;
2;4;4;1;1;3;8;2;2;4;3;3;4;3;3;4;4;4;3;4;3;3;3;5;0;1;2;;;;
2;4;4;1;3;1;5;2;3;3;4;4;3;2;4;3;3;4;3;3;4;3;3;4;3;3;4;;;;
2;3;3;1;1;3;6;2;3;3;4;3;4;3;2;4;4;2;3;3;4;3;3;4;0;0;2;;;;
2;4;4;1;5;2;15;2;2;3;3;4;4;3;4;3;4;4;2;3;3;3;4;5;2;3;3;;;;
2;1;1;2;1;3;10;2;4;4;3;3;4;3;3;5;4;3;1;3;4;1;3;5;1;3;4;;;;
2;1;1;2;1;3;10;2;4;3;3;4;4;3;3;5;4;3;1;3;4;1;3;5;1;3;4;;;;
1;2;2;1;1;3;16;1;4;3;5;4;1;1;5;5;1;5;4;1;5;5;2;5;0;0;1;;;;
2;1;1;1;1;3;8;2;5;1;5;1;3;2;3;5;1;4;2;1;5;0;0;1;0;0;1;;;;
2;1;1;2;4;1;20;2;3;4;4;3;5;3;4;5;5;4;4;5;4;3;5;5;0;2;2;;;;
2;1;1;1;1;3;8;2;3;3;3;3;2;1;5;4;4;4;4;4;4;3;3;5;0;1;1;;;;
2;2;2;1;1;3;3;1;4;2;4;3;3;2;4;4;3;4;3;2;5;4;4;5;0;1;2;;;;
2;2;2;2;1;3;18;2;3;5;3;3;2;1;4;3;3;4;3;3;4;3;3;4;0;0;1;;;;
2;2;2;1;1;3;12;1;4;1;4;3;3;2;2;5;5;2;3;4;4;4;5;5;1;1;1;;;;
2;1;1;1;1;3;4;2;4;2;4;3;4;3;5;3;4;4;4;4;5;1;1;1;0;1;1;;;;
2;1;1;4;1;3;3;1;4;1;4;2;3;2;3;5;4;3;4;3;4;4;4;5;0;0;1;;;;
2;3;3;1;1;3;15;2;3;2;4;2;4;3;3;5;5;3;4;5;3;4;5;3;3;5;3;;;;
2;5;5;1;2;2;20;2;3;3;4;2;1;1;3;4;3;3;4;4;5;4;4;5;0;1;5;;;;
1;1;1;1;1;3;4;2;4;1;5;4;2;1;3;3;2;3;3;2;3;3;2;3;3;3;3;;;;
2;3;3;1;5;2;21;3;3;3;4;3;3;2;4;3;4;4;3;3;4;3;3;4;3;3;4;;;;
1;1;1;4;5;2;9;2;3;3;3;2;3;2;4;3;3;2;3;4;3;4;5;2;3;4;2;;;;
2;1;1;2;3;1;2;2;4;3;4;1;4;3;2;5;4;4;4;4;4;4;4;4;2;3;5;;;;
1;5;5;4;3;1;11;2;3;3;2;3;3;2;4;3;3;4;2;3;4;2;2;4;3;2;4;;;;
1;3;3;2;1;3;21;3;4;1;5;3;5;3;5;5;4;5;2;3;3;4;4;5;0;1;1;;;;
1;2;2;1;1;3;4;3;5;3;5;3;5;3;5;5;3;5;5;4;4;4;5;5;4;5;5;;;;
1;4;4;4;4;1;13;1;3;3;3;4;2;1;4;2;2;2;0;0;1;1;1;2;0;0;1;;;;
1;5;5;4;4;1;8;2;4;3;4;5;3;2;3;4;4;3;4;3;3;4;3;4;5;3;5;;;;
1;2;2;4;1;3;4;2;5;1;5;1;3;2;5;5;3;4;3;1;1;5;3;5;5;3;5;;;;
1;3;3;1;1;3;21;3;3;4;2;5;0;1;1;2;0;1;4;2;5;1;1;5;0;0;1;;;;
1;2;2;1;1;3;3;1;3;3;3;3;3;2;3;3;3;4;3;3;3;3;2;5;3;2;1;;;;
2;1;1;1;1;3;21;3;3;2;3;3;4;3;5;5;1;1;3;3;5;5;3;5;2;4;2;;;;
2;5;5;1;1;3;21;3;4;3;4;3;3;2;3;5;3;3;5;3;3;5;3;3;5;3;3;;;;
2;3;3;1;2;2;14;2;3;2;4;3;3;2;4;4;5;4;3;3;5;4;4;5;2;1;1;;;;
1;5;5;1;5;2;5;2;5;3;4;2;5;3;4;5;4;4;4;4;3;5;4;5;3;4;3;;;;
2;5;5;1;2;2;20;2;2;3;3;4;3;2;4;3;3;4;3;3;4;4;4;5;0;0;1;;;;
2;5;5;1;3;1;17;2;3;2;3;4;2;1;3;1;1;4;3;2;4;2;2;5;3;3;4;;;;
1;4;4;1;1;3;19;1;3;3;3;2;4;3;4;3;3;4;3;3;4;3;3;4;3;2;4;;;;
2;4;4;1;3;1;18;2;3;2;4;2;3;2;4;1;1;2;3;2;3;0;1;3;0;0;3;;;;
1;3;3;1;2;2;4;2;5;5;5;1;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;
2;4;4;1;3;1;20;2;3;2;3;3;3;2;5;4;3;4;3;3;5;4;4;5;2;2;5;;;;
1;2;2;4;2;2;6;2;2;3;2;2;2;1;3;3;1;2;4;2;2;2;3;5;2;3;1;;;;
2;3;3;1;3;1;6;2;4;2;5;3;3;2;4;5;3;4;4;3;5;3;3;1;0;0;1;;;;
1;2;2;1;2;2;4;2;5;1;5;1;5;3;5;5;5;3;5;5;3;5;5;3;2;2;5;;;;
1;3;3;4;4;1;12;1;4;1;4;2;3;2;4;4;4;4;2;0;1;0;0;1;0;1;2;;;;
2;2;2;4;1;3;4;2;3;3;3;3;3;2;4;4;3;4;2;2;5;3;3;5;0;2;1;;;;
2;4;4;4;5;2;18;2;2;3;4;4;3;2;4;3;3;4;2;3;4;2;3;4;0;0;1;;;;
2;4;4;1;2;2;8;2;3;3;4;3;4;3;5;4;5;3;4;4;5;3;4;5;0;1;2;;;;
1;2;2;2;1;3;10;2;5;5;4;2;5;3;4;4;5;5;3;5;5;4;5;5;3;5;3;;;;
1;3;3;1;1;3;10;2;4;1;5;1;5;3;3;5;5;3;5;5;3;5;5;3;5;5;3;;;;
1;2;2;1;4;1;10;2;4;3;3;2;3;2;3;5;0;3;4;4;5;4;5;5;0;0;2;;;;
1;3;3;1;1;3;10;2;5;2;5;3;1;1;4;4;3;4;5;5;3;4;4;2;3;4;3;;;;
1;3;3;1;1;3;19;1;5;2;4;1;4;3;4;5;5;4;4;4;4;4;4;4;1;4;4;;;;
1;3;3;1;1;3;10;2;3;2;5;3;0;1;1;4;3;4;3;3;3;3;3;5;0;0;1;;;;
1;3;3;1;1;3;10;2;5;2;5;3;1;1;4;4;3;4;5;5;3;4;4;2;3;4;3;;;;
1;3;3;1;1;3;19;1;5;2;4;1;4;3;4;5;5;4;4;4;4;4;4;4;1;4;4;;;;
1;1;1;2;4;1;10;2;4;4;2;3;3;2;3;5;3;3;5;3;3;5;3;3;0;1;3;;;;
1;6;5;1;2;2;8;2;3;3;4;3;4;3;5;4;4;5;4;4;5;3;4;5;3;3;5;;;;
2;4;4;4;1;3;21;3;4;3;5;1;4;3;3;4;4;2;4;4;4;4;4;5;1;0;2;;;;
2;6;5;1;2;2;7;1;3;3;3;3;3;2;5;3;3;5;3;3;4;3;3;5;1;2;5;;;;
1;5;5;1;5;2;16;1;3;3;3;3;3;2;5;4;3;4;4;4;5;4;3;5;4;4;5;;;;
1;2;2;4;4;1;12;1;3;3;3;4;4;3;3;3;4;3;2;4;3;3;4;3;1;4;3;;;;
2;6;5;1;2;2;8;2;3;3;3;3;3;2;4;3;3;4;3;3;4;3;4;4;3;4;5;;;;
2;4;4;1;1;3;14;2;3;3;4;4;3;2;5;4;3;5;3;3;5;5;3;5;1;3;5;;;;
1;2;2;1;1;3;4;2;3;2;3;3;4;3;3;5;5;3;2;2;1;4;5;3;4;5;3;;;;
2;2;2;1;1;3;4;2;4;1;5;2;5;3;5;5;5;4;5;5;4;4;5;5;2;4;3;;;;
2;4;4;1;1;3;8;2;3;3;2;2;3;2;5;3;2;5;4;3;5;4;3;5;2;3;5;;;;
1;2;2;1;1;3;4;2;4;2;5;2;3;2;5;5;5;5;4;3;5;4;4;5;4;5;5;;;;
1;2;2;1;1;3;7;1;5;3;4;1;5;3;5;5;3;5;5;4;5;4;5;5;4;5;5;;;;
1;3;3;1;1;3;4;2;5;2;5;3;4;3;5;5;5;5;4;4;5;5;4;5;5;5;5;;;;
1;3;3;1;2;2;4;2;4;2;5;3;4;3;5;5;4;4;5;4;5;5;4;5;2;3;2;;;;
1;4;4;1;1;3;18;2;3;3;3;3;3;2;2;4;3;2;4;4;2;4;5;3;0;0;2;;;;
2;3;3;1;1;3;4;2;3;3;3;3;4;3;5;5;4;3;5;5;5;4;4;5;1;3;5;;;;
1;4;4;1;1;3;4;2;5;1;5;1;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;
2;1;1;1;3;1;14;2;4;2;5;3;5;3;5;5;2;5;4;5;5;3;5;5;0;1;1;;;;
1;3;3;4;1;3;11;2;3;3;3;2;0;1;1;1;0;1;1;0;1;1;0;1;1;0;1;;;;
1;3;3;3;4;1;6;2;3;3;3;4;0;1;2;3;3;2;3;0;2;4;2;5;5;3;3;;;;
2;4;4;1;2;2;6;2;2;2;4;4;4;3;4;3;4;3;2;5;5;2;5;5;0;2;3;;;;
2;2;2;1;1;3;12;1;4;2;3;3;2;1;5;4;2;5;3;2;5;3;3;5;0;1;1;;;;
2;3;3;1;3;1;17;2;3;2;4;3;2;1;4;5;4;4;4;3;4;4;3;4;0;2;4;;;;
1;3;3;4;4;1;18;2;2;3;3;4;1;1;4;4;3;4;0;1;4;1;1;4;0;0;4;;;;
1;4;4;4;4;1;16;1;2;3;3;4;1;1;2;1;1;5;0;0;4;1;1;3;0;0;5;;;;
1;1;1;3;4;1;12;1;3;1;5;2;5;3;3;5;5;4;4;5;3;3;3;5;1;3;5;;;;
2;3;3;1;2;2;10;2;4;1;5;3;4;3;5;5;4;5;4;5;5;4;4;5;0;2;1;;;;
1;3;3;4;1;3;21;3;5;2;5;2;5;3;5;5;5;5;5;5;5;5;5;5;1;1;1;;;;
1;3;3;1;2;2;5;2;4;4;5;3;3;2;3;5;5;4;4;4;4;4;4;5;4;4;5;;;;
2;3;3;4;1;3;4;2;3;3;4;3;4;3;3;4;3;4;4;3;4;4;3;4;4;3;4;;;;
2;3;3;1;2;2;6;2;3;3;3;4;2;1;5;4;4;5;4;4;5;4;4;5;0;0;1;;;;
1;6;5;1;4;1;13;1;1;5;5;5;2;1;4;2;3;4;2;3;4;0;0;1;0;0;1;;;;
1;4;4;1;2;2;10;2;4;2;5;2;4;3;5;5;4;3;4;5;5;4;4;5;0;1;1;;;;
1;3;3;1;2;2;10;2;3;2;4;3;5;3;3;5;5;4;4;4;5;4;5;5;0;1;2;;;;
1;3;3;1;2;2;4;2;5;1;5;2;4;3;5;5;4;4;5;5;5;5;5;5;1;1;5;;;;
1;5;5;1;5;2;20;2;4;2;4;2;4;3;5;4;4;3;5;5;5;5;5;5;3;3;5;;;;
1;4;4;4;5;2;13;1;3;3;4;4;3;2;4;3;3;4;2;2;5;3;3;5;0;0;1;;;;
1;2;2;1;2;2;5;2;4;3;3;2;4;3;5;5;3;5;3;4;5;3;4;5;1;4;5;;;;
